UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2010,999,309326225,152088297,157237928,119864601,122371925,19258427,21094536,1896621,1856604,7268378,7995829,344750,333455,3455520,3585579,122908841,125510900,20702008,22644596,3066965,3095577,8528905,9273597,671611,668322,126329719,132248666,97064838,100324560,18114176,19894894,1118244,1150275,7018149,7744957,252047,247764,2762265,2886216,99494643,102846389,19259782,21133902,1975076,2077739,8086315,8828018,511074,514665,25758578,24989262,22799763,22047365,1144251,1199642,778377,706329,250229,250872,92703,85691,693255,699363,23414198,22664511,1442226,1510694,1091889,1017838,442590,445579,160537,153657
R,7,2010,0,3951390,2018415,1932975,1461227,1394950,303886,294924,32828,32003,95092,89700,5946,5719,119436,115679,1571333,1501363,368230,357809,57242,55949,138597,131354,14448,13871,1500274,1433915,1019908,969823,275204,267337,17156,17003,89014,83961,3927,3733,95065,92058,1108009,1054932,327380,318181,33037,32731,124958,118435,10126,9623,518141,499060,441319,425127,28682,27587,15672,15000,6078,5739,2019,1986,24371,23621,463324,446431,40850,39628,24205,23218,13639,12919,4322,4248
R,7,2010,1,3957908,2020353,1937555,1466028,1399993,305739,297725,32667,31678,94066,90279,5907,5837,115946,112043,1572553,1503086,368249,358817,56544,54339,136098,130447,14124,13798,1506801,1443437,1027383,978139,277583,270413,17381,16961,88032,84602,3888,3865,92534,89457,1112834,1060883,328506,320241,32982,31690,122881,118000,9907,9695,513552,494118,438645,421854,28156,27312,15286,14717,6034,5677,2019,1972,23412,22586,459719,442203,39743,38576,23562,22649,13217,12447,4217,4103
R,7,2010,2,4090694,2088680,2002014,1517227,1446882,315743,307719,34024,32815,99347,96057,6127,5873,116212,112668,1623897,1550299,378264,369378,57869,55912,141500,136247,14616,13763,1557044,1492887,1061376,1011142,287055,280027,18025,17586,93460,90333,4071,3838,93057,89961,1147186,1094076,338264,330399,33670,32583,128534,123675,10277,9628,531636,509127,455851,435740,28688,27692,15999,15229,5887,5724,2056,2035,23155,22707,476711,456223,40000,38979,24199,23329,12966,12572,4339,4135
R,7,2010,3,4111860,2101352,2010508,1532614,1460861,316621,306073,34589,33047,98834,95206,6090,5956,112604,109365,1636011,1561046,376942,365210,58094,55941,139700,134376,14306,13896,1570011,1500799,1076605,1023041,288380,279089,18059,17719,92842,89602,4070,3933,90055,87415,1159723,1103465,337676,327558,33512,32650,126726,122172,10101,9739,531341,509709,456009,437820,28241,26984,16530,15328,5992,5604,2020,2023,22549,21950,476288,457581,39266,37652,24582,23291,12974,12204,4205,4157
R,7,2010,4,4077566,2084372,1993194,1530890,1455331,307592,299960,33852,32586,98039,95728,5977,5722,108022,103867,1630000,1550596,364605,355325,56864,54573,137625,133362,13839,13233,1564681,1495094,1082759,1026124,280855,273924,18062,17548,92285,90428,3981,3814,86739,83256,1162675,1102812,327722,319468,33208,31973,125380,121757,9786,9304,519691,498100,448131,429207,26737,26036,15790,15038,5754,5300,1996,1908,21283,20611,467325,447784,36883,35857,23656,22600,12245,11605,4053,3929
R,7,2010,5,4064663,2076613,1988050,1530777,1456065,303989,294397,33451,32643,99020,98751,5962,5726,103414,100468,1625425,1547848,357843,347261,56095,54444,137211,135355,13490,12986,1568026,1501625,1091237,1036228,278146,269350,18018,17565,93498,93574,4025,3943,83102,80965,1167644,1110472,322414,312994,32956,31941,125505,124340,9578,9354,508587,486425,439540,419837,25843,25047,15433,15078,5522,5177,1937,1783,20312,19503,457781,437376,35429,34267,23139,22503,11706,11015,3912,3632
R,7,2010,6,4073045,2079503,1993542,1540799,1466982,301627,292572,32591,31921,98866,99451,5762,5446,99858,97170,1632198,1555904,352900,343093,54756,53517,135975,135049,13138,12587,1583864,1516367,1111037,1053864,276900,268561,17902,17311,93495,94412,3981,3725,80549,78494,1185101,1125954,319206,310361,32746,31925,124660,124307,9476,8991,495639,477175,429762,413118,24727,24011,14689,14610,5371,5039,1781,1721,19309,18676,447097,429950,33694,32732,22010,21592,11315,10742,3662,3596
R,7,2010,7,4043110,2063274,1979836,1532421,1460220,299556,291214,32328,31273,98105,98962,5724,5430,95140,92737,1619227,1544997,348183,338680,54127,52641,133203,133060,12953,12209,1577272,1511125,1110369,1053410,275435,268090,17644,17006,92921,93942,3946,3743,76957,74934,1180876,1122227,315696,307377,32347,31468,122468,122553,9336,8856,486002,468711,422052,406810,24121,23124,14684,14267,5184,5020,1778,1687,18183,17803,438351,422770,32487,31303,21780,21173,10735,10507,3617,3353
R,7,2010,8,4025650,2054560,1971090,1527105,1454971,304762,296010,32236,30980,93579,93934,5541,5307,91337,89888,1610438,1536764,351324,342454,53756,52456,126919,126175,12435,12037,1574934,1509710,1109834,1054118,281103,272988,17819,17135,88602,89170,3856,3639,73720,72660,1177368,1120568,319712,311486,32280,31711,116525,116186,9059,8706,479626,461380,417271,400853,23659,23022,14417,13845,4977,4764,1685,1668,17617,17228,433070,416196,31612,30968,21476,20745,10394,9989,3376,3331
